rank,given_name,aggregated_count,source_datasets,source_urls
456,Eliana,72,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
457,Roman,72,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
458,Selin,72,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
459,Asya,71,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
460,Christina,71,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
461,Vito,71,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
462,Hermine,70,Jena Open Data | Leipzig Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1
463,Ilias,70,Leipzig Open Data | Muenchen Open Data,https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
464,Marcel,70,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
465,Marlena,70,Jena Open Data | Leipzig Open Data | Muenchen Open Data,https://opendata.jena.de/dataset/vornamen | https://opendata.leipzig.de/dataset/?page=1 | https://opendata.muenchen.de/dataset/vornamen-von-neugeborenen
