place_name,state,population,rank
"Lappersdorf, M",Bayern,13419,1165
Genthin,Sachsen-Anhalt,13416,1166
Wentorf bei Hamburg,Schleswig-Holstein,13414,1167
Gangelt,Nordrhein-Westfalen,13410,1168
Mutterstadt,Rheinland-Pfalz,13403,1169
Sulingen,Niedersachsen,13394,1170
Kirchheim b.München,Bayern,13392,1171
Schneeberg,Sachsen,13377,1172
Marienheide,Nordrhein-Westfalen,13356,1173
Beverstedt,Niedersachsen,13354,1174
Neckargemünd,Baden-Württemberg,13335,1175
"Ergolding, M",Bayern,13323,1176
Oberhaching,Bayern,13318,1177
Linden,Hessen,13308,1178
Hüllhorst,Nordrhein-Westfalen,13304,1179
Barsbüttel,Schleswig-Holstein,13302,1180
"Neustadt a.d.Aisch, St",Bayern,13294,1181
Hagen am Teutoburger Wald,Niedersachsen,13275,1182
Weinsberg,Baden-Württemberg,13268,1183
Kalletal,Nordrhein-Westfalen,13256,1184
Herbrechtingen,Baden-Württemberg,13238,1185
Fehmarn,Schleswig-Holstein,13200,1186
Brieselang,Brandenburg,13187,1187
Kerken,Nordrhein-Westfalen,13186,1188
Ubstadt-Weiher,Baden-Württemberg,13178,1189
Olfen,Nordrhein-Westfalen,13175,1190
Winterberg,Nordrhein-Westfalen,13168,1191
Ottersberg,Niedersachsen,13166,1192
Twistringen,Niedersachsen,13162,1193
"Plattling, St",Bayern,13160,1194
"Treuchtlingen, St",Bayern,13159,1195
"Roding, St",Bayern,13157,1196
Bad Dürrheim,Baden-Württemberg,13149,1197
Bad Laasphe,Nordrhein-Westfalen,13148,1198
"Peißenberg, M",Bayern,13148,1199
"Altötting, St",Bayern,13138,1200
Wehr,Baden-Württemberg,13126,1201
Ketsch,Baden-Württemberg,13117,1202
Schöneiche bei Berlin,Brandenburg,13102,1203
Roßdorf,Hessen,13096,1204
Rosbach v. d. Höhe,Hessen,13084,1205
Bohmte,Niedersachsen,13083,1206
Hadamar,Hessen,13082,1207
Spiesen-Elversberg,Saarland,13080,1208
Bad Doberan,Mecklenburg-Vorpommern,13079,1209
Eppstein,Hessen,13070,1210
"Lauterbach (Hessen), Kreisstadt",Hessen,13047,1211
"Hösbach, M",Bayern,13046,1212
"Manching, M",Bayern,13042,1213
Zehdenick,Brandenburg,13040,1214
Teutschenthal,Sachsen-Anhalt,13038,1215
Bad Salzdetfurth,Niedersachsen,13037,1216
Oebisfelde-Weferlingen,Sachsen-Anhalt,13002,1217
Weilburg,Hessen,12992,1218
Bergen,Niedersachsen,12991,1219
Bischofsheim,Hessen,12979,1220
Biedenkopf,Hessen,12969,1221
Wietmarschen,Niedersachsen,12959,1222
Bebra,Hessen,12945,1223
Rotenburg a. d. Fulda,Hessen,12937,1224
Gärtringen,Baden-Württemberg,12934,1225
Jüterbog,Brandenburg,12926,1226
Ladenburg,Baden-Württemberg,12914,1227
Cremlingen,Niedersachsen,12907,1228
Quierschied,Saarland,12895,1229
Waltershausen,Thüringen,12871,1230
Südliches Anhalt,Sachsen-Anhalt,12857,1231
Wadersloh,Nordrhein-Westfalen,12848,1232
Sulz am Neckar,Baden-Württemberg,12847,1233
"Kaufungen, Kunigundengemeinde",Hessen,12838,1234
Trebur,Hessen,12799,1235
Titisee-Neustadt,Baden-Württemberg,12797,1236
Herzberg am Harz,Niedersachsen,12792,1237
Bad Fallingbostel,Niedersachsen,12783,1238
Hettstedt,Sachsen-Anhalt,12783,1239
Weeze,Nordrhein-Westfalen,12766,1240
Altenstadt,Hessen,12764,1241
"Pfarrkirchen, St",Bayern,12764,1242
Hungen,Hessen,12754,1243
Fuldatal,Hessen,12752,1244
Bad Urach,Baden-Württemberg,12751,1245
Wächtersbach,Hessen,12731,1246
Velten,Brandenburg,12727,1247
Blaubeuren,Baden-Württemberg,12719,1248
Bretzfeld,Baden-Württemberg,12713,1249
Winsen (Aller),Niedersachsen,12711,1250
Neunkirchen,Nordrhein-Westfalen,12705,1251
Brunsbüttel,Schleswig-Holstein,12692,1252
Dossenheim,Baden-Württemberg,12690,1253
Neuenburg am Rhein,Baden-Württemberg,12690,1254
Scheeßel,Niedersachsen,12690,1255
Velen,Nordrhein-Westfalen,12678,1256
Beverungen,Nordrhein-Westfalen,12669,1257
Mettlach,Saarland,12621,1258
Möckern,Sachsen-Anhalt,12591,1259
"Wolfhagen, Hans-Staden-Stadt",Hessen,12582,1260
"Schongau, St",Bayern,12572,1261
"Feuchtwangen, St",Bayern,12551,1262
"Bad Abbach, M",Bayern,12545,1263
"Röthenbach a.d.Pegnitz, St",Bayern,12529,1264
Buseck,Hessen,12527,1265
Alpen,Nordrhein-Westfalen,12515,1266
Neuhausen auf den Fildern,Baden-Württemberg,12506,1267
Emstek,Niedersachsen,12487,1268
Linkenheim-Hochstetten,Baden-Württemberg,12484,1269
"Gaimersheim, M",Bayern,12468,1270
"Rödental, St",Bayern,12457,1271
Graben-Neudorf,Baden-Württemberg,12453,1272
"Bad Windsheim, St",Bayern,12446,1273
Preußisch Oldendorf,Nordrhein-Westfalen,12439,1274
"Hirschaid, M",Bayern,12429,1275
Issum,Nordrhein-Westfalen,12428,1276
Laichingen,Baden-Württemberg,12425,1277
Bad Wünnenberg,Nordrhein-Westfalen,12418,1278
Gladenbach,Hessen,12415,1279
"Ebersberg, St",Bayern,12408,1280
Niefern-Öschelbronn,Baden-Württemberg,12402,1281
Monschau,Nordrhein-Westfalen,12389,1282
Ense,Nordrhein-Westfalen,12383,1283
Ihlow,Niedersachsen,12376,1284
"Wasserburg a.Inn, St",Bayern,12375,1285
Tholey,Saarland,12358,1286
Havixbeck,Nordrhein-Westfalen,12357,1287
"Hersbruck, St",Bayern,12346,1288
Hessisch Lichtenau,Hessen,12337,1289
Wolmirstedt,Sachsen-Anhalt,12323,1290
"Meitingen, M",Bayern,12307,1291
Tamm,Baden-Württemberg,12305,1292
St. Georgen im Schwarzwald,Baden-Württemberg,12301,1293
Heddesheim,Baden-Württemberg,12294,1294
Zetel,Niedersachsen,12293,1295
Edemissen,Niedersachsen,12281,1296
"Osterhofen, St",Bayern,12280,1297
Oftersheim,Baden-Württemberg,12272,1298
Borken (Hessen),Hessen,12268,1299
Rielasingen-Worblingen,Baden-Württemberg,12268,1300
Besigheim,Baden-Württemberg,12267,1301
"Dinkelsbühl, GKSt",Bayern,12260,1302
Salem,Baden-Württemberg,12243,1303
Rosdorf,Niedersachsen,12239,1304
"Vilsbiburg, St",Bayern,12237,1305
Kronshagen,Schleswig-Holstein,12235,1306
Dingelstädt,Thüringen,12204,1307
Wernau (Neckar),Baden-Württemberg,12200,1308
Bad Sassendorf,Nordrhein-Westfalen,12194,1309
Lauffen am Neckar,Baden-Württemberg,12189,1310
Gundelfingen,Baden-Württemberg,12168,1311
Glienicke/Nordbahn,Brandenburg,12159,1312
Zella-Mehlis,Thüringen,12157,1313
Oberkrämer,Brandenburg,12145,1314
Nörvenich,Nordrhein-Westfalen,12131,1315
Geeste,Niedersachsen,12129,1316
Burladingen,Baden-Württemberg,12124,1317
Frohburg,Sachsen,12120,1318
Apen,Niedersachsen,12118,1319
Überherrn,Saarland,12109,1320
Steinheim,Nordrhein-Westfalen,12107,1321
Leutenbach,Baden-Württemberg,12093,1322
Wettenberg,Hessen,12077,1323
"Maxhütte-Haidhof, St",Bayern,12053,1324
Hagenow,Mecklenburg-Vorpommern,12022,1325
Perleberg,Brandenburg,12022,1326
Gaildorf,Baden-Württemberg,12005,1327
Welver,Nordrhein-Westfalen,11999,1328
"Essenbach, M",Bayern,11998,1329
"Murnau a.Staffelsee, M",Bayern,11994,1330
Stelle,Niedersachsen,11974,1331
"Hauzenberg, St",Bayern,11965,1332
Ludwigslust,Mecklenburg-Vorpommern,11961,1333
Pößneck,Thüringen,11960,1334
Hallbergmoos,Bayern,11959,1335
Billerbeck,Nordrhein-Westfalen,11945,1336
Uplengen,Niedersachsen,11930,1337
Anklam,Mecklenburg-Vorpommern,11917,1338
Hemsbach,Baden-Württemberg,11915,1339
Drolshagen,Nordrhein-Westfalen,11913,1340
Sassenburg,Niedersachsen,11913,1341
Steinheim an der Murr,Baden-Württemberg,11908,1342
Ostrhauderfehn,Niedersachsen,11885,1343
Teningen,Baden-Württemberg,11884,1344
Lippetal,Nordrhein-Westfalen,11883,1345
Bad Freienwalde (Oder),Brandenburg,11877,1346
Nordstemmen,Niedersachsen,11876,1347
Lehre,Niedersachsen,11874,1348
Pritzwalk,Brandenburg,11866,1349
Unterföhring,Bayern,11866,1350
Oberschleißheim,Bayern,11857,1351
Eichenzell,Hessen,11852,1352
Schöneck,Hessen,11837,1353
Harrislee,Schleswig-Holstein,11811,1354
Neustadt in Sachsen,Sachsen,11810,1355
"Peiting, M",Bayern,11798,1356
Remchingen,Baden-Württemberg,11798,1357
Durmersheim,Baden-Württemberg,11780,1358
Rangsdorf,Brandenburg,11754,1359
Raesfeld,Nordrhein-Westfalen,11709,1360
Scharbeutz,Schleswig-Holstein,11694,1361
Jork,Niedersachsen,11693,1362
Oberderdingen,Baden-Württemberg,11690,1363
Bad Nenndorf,Niedersachsen,11686,1364
Limburgerhof,Rheinland-Pfalz,11684,1365
Schwaigern,Baden-Württemberg,11661,1366
Kissing,Bayern,11657,1367
Lauenburg/ Elbe,Schleswig-Holstein,11657,1368
Mettingen,Nordrhein-Westfalen,11654,1369
Erkner,Brandenburg,11641,1370
Leingarten,Baden-Württemberg,11637,1371
Wickede (Ruhr),Nordrhein-Westfalen,11637,1372
Hildburghausen,Thüringen,11632,1373
"Wolnzach, M",Bayern,11623,1374
Neuenrade,Nordrhein-Westfalen,11621,1375
Walldürn,Baden-Württemberg,11614,1376
Sinzheim,Baden-Württemberg,11608,1377
Korb,Baden-Württemberg,11607,1378
"Lindenberg i.Allgäu, St",Bayern,11587,1379
"Miesbach, St",Bayern,11573,1380
"Geisenfeld, St",Bayern,11563,1381
Bopfingen,Baden-Württemberg,11560,1382
Handewitt,Schleswig-Holstein,11556,1383
Rudersberg,Baden-Württemberg,11555,1384
Gerstetten,Baden-Württemberg,11551,1385
Eichenau,Bayern,11540,1386
Muldestausee,Sachsen-Anhalt,11540,1387
"Bad Schwalbach, Kreisstadt",Hessen,11532,1388
Ammerbuch,Baden-Württemberg,11522,1389
"Bad Dürrenberg, Solestadt",Sachsen-Anhalt,11521,1390
"Lauingen (Donau), St",Bayern,11510,1391
Kirchhundem,Nordrhein-Westfalen,11509,1392
Eningen unter Achalm,Baden-Württemberg,11506,1393
Ostbevern,Nordrhein-Westfalen,11469,1394
Burgthann,Bayern,11466,1395
Dautphetal,Hessen,11466,1396
Oestrich-Winkel,Hessen,11443,1397
Zeuthen,Brandenburg,11431,1398
Diez,Rheinland-Pfalz,11428,1399
Nußloch,Baden-Württemberg,11418,1400
Glückstadt,Schleswig-Holstein,11410,1401
"Marktheidenfeld, St",Bayern,11402,1402
Krummhörn,Niedersachsen,11384,1403
"Geisenheim, Hochschulstadt",Hessen,11369,1404
Straubenhardt,Baden-Württemberg,11367,1405
"Rothenburg ob der Tauber, GKSt",Bayern,11365,1406
Zwönitz,Sachsen,11358,1407
Kriftel,Hessen,11356,1408
"Waldkirchen, St",Bayern,11356,1409
Rheinau,Baden-Württemberg,11346,1410
Recke,Nordrhein-Westfalen,11341,1411
"Trostberg, St",Bayern,11337,1412
Schwieberdingen,Baden-Württemberg,11318,1413
Drochtersen,Niedersachsen,11313,1414
Engen,Baden-Württemberg,11311,1415
Kranenburg,Nordrhein-Westfalen,11303,1416
"Altdorf, M",Bayern,11300,1417
Möhnesee,Nordrhein-Westfalen,11274,1418
Salzatal,Sachsen-Anhalt,11267,1419
Welzheim,Baden-Württemberg,11264,1420
Kloster Lehnin,Brandenburg,11261,1421
Rutesheim,Baden-Württemberg,11258,1422
Isselburg,Nordrhein-Westfalen,11251,1423
"Cadolzburg, M",Bayern,11250,1424
Rosendahl,Nordrhein-Westfalen,11249,1425
Extertal,Nordrhein-Westfalen,11248,1426
Balve,Nordrhein-Westfalen,11240,1427
Gräfenhainichen,Sachsen-Anhalt,11228,1428
"Ochsenfurt, St",Bayern,11219,1429
"Mömbris, M",Bayern,11202,1430
Südheide,Niedersachsen,11182,1431
Kall,Nordrhein-Westfalen,11180,1432
Grünwald,Bayern,11179,1433
Riedlingen,Baden-Württemberg,11176,1434
Raubling,Bayern,11161,1435
Mülheim-Kärlich,Rheinland-Pfalz,11159,1436
Wittingen,Niedersachsen,11136,1437
Coswig (Anhalt),Sachsen-Anhalt,11129,1438
Stollberg/Erzgeb.,Sachsen,11127,1439
Bannewitz,Sachsen,11122,1440
Bad Belzig,Brandenburg,11118,1441
Niestetal,Hessen,11118,1442
Herrsching a.Ammersee,Bayern,11099,1443
Herxheim bei Landau/ Pfalz,Rheinland-Pfalz,11093,1444
Denkendorf,Baden-Württemberg,11092,1445
Gengenbach,Baden-Württemberg,11081,1446
Schöningen,Niedersachsen,11078,1447
Rodenbach,Hessen,11074,1448
Werther (Westf.),Nordrhein-Westfalen,11051,1449
Boizenburg/ Elbe,Mecklenburg-Vorpommern,11048,1450
Braunfels,Hessen,11045,1451
Osterwieck,Sachsen-Anhalt,11045,1452
Höhenkirchen-Siegertsbrunn,Bayern,11039,1453
Wustermark,Brandenburg,11024,1454
"Regen, St",Bayern,11018,1455
Planegg,Bayern,11007,1456
Burgkirchen a.d.Alz,Bayern,11006,1457
Wolgast,Mecklenburg-Vorpommern,10991,1458
Lichtenau,Nordrhein-Westfalen,10985,1459
Langgöns,Hessen,10965,1460
Egelsbach,Hessen,10960,1461
Eisenberg,Thüringen,10955,1462
Oelsnitz/Erzgeb.,Sachsen,10954,1463
Ebersbach-Neugersdorf,Sachsen,10937,1464
Haigerloch,Baden-Württemberg,10930,1465
"Prien a.Chiemsee, M",Bayern,10915,1466
Neuhof,Hessen,10893,1467
Neuenhaus,Niedersachsen,10890,1468
Ruppichteroth,Nordrhein-Westfalen,10887,1469
Dallgow-Döberitz,Brandenburg,10882,1470
Westerkappeln,Nordrhein-Westfalen,10876,1471
Lichtenstein/Sa.,Sachsen,10875,1472
Hasbergen,Niedersachsen,10874,1473
Gottmadingen,Baden-Württemberg,10871,1474
Malente,Schleswig-Holstein,10858,1475
Kleinblittersdorf,Saarland,10856,1476
Steinbach (Taunus),Hessen,10856,1477
Harsum,Niedersachsen,10846,1478
Mandelbachtal,Saarland,10844,1479
"Bad Staffelstein, St",Bayern,10821,1480
Adendorf,Niedersachsen,10818,1481
Grafschaft,Rheinland-Pfalz,10817,1482
Schkopau,Sachsen-Anhalt,10815,1483
Fürth,Hessen,10810,1484
Lorch,Baden-Württemberg,10806,1485
Altensteig,Baden-Württemberg,10798,1486
Selfkant,Nordrhein-Westfalen,10786,1487
Möglingen,Baden-Württemberg,10784,1488
Herbolzheim,Baden-Württemberg,10783,1489
Nideggen,Nordrhein-Westfalen,10764,1490
Nordkirchen,Nordrhein-Westfalen,10762,1491
Kenzingen,Baden-Württemberg,10748,1492
Feldkirchen-Westerham,Bayern,10742,1493
Schwielowsee,Brandenburg,10723,1494
Wildau,Brandenburg,10717,1495
Hagen im Bremischen,Niedersachsen,10705,1496
"Diedorf, M",Bayern,10699,1497
"Hammelburg, St",Bayern,10694,1498
Karlsdorf-Neuthard,Baden-Württemberg,10693,1499
"Gernsheim, Schöfferstadt",Hessen,10685,1500
Meßstetten,Baden-Württemberg,10677,1501
"Dießen am Ammersee, M",Bayern,10673,1502
"Burgau, St",Bayern,10670,1503
Weinböhla,Sachsen,10659,1504
Bad Iburg,Niedersachsen,10652,1505
Taufkirchen (Vils),Bayern,10652,1506
Böhl-Iggelheim,Rheinland-Pfalz,10645,1507
Plankstadt,Baden-Württemberg,10644,1508
Schorfheide,Brandenburg,10632,1509
Mülsen,Sachsen,10613,1510
Bischofswerda,Sachsen,10576,1511
Donzdorf,Baden-Württemberg,10568,1512
Emsbüren,Niedersachsen,10559,1513
Stephanskirchen,Bayern,10558,1514
Morsbach,Nordrhein-Westfalen,10555,1515
Hüttenberg,Hessen,10550,1516
Morbach,Rheinland-Pfalz,10542,1517
Felsberg,Hessen,10535,1518
Weingarten (Baden),Baden-Württemberg,10534,1519
Gronau (Leine),Niedersachsen,10527,1520
Schönwalde-Glien,Brandenburg,10523,1521
Merzenich,Nordrhein-Westfalen,10508,1522
Nauheim,Hessen,10496,1523
Schönaich,Baden-Württemberg,10495,1524
Nossen,Sachsen,10486,1525
Barmstedt,Schleswig-Holstein,10470,1526
Schalksmühle,Nordrhein-Westfalen,10463,1527
Wald-Michelbach,Hessen,10455,1528
"Bogen, St",Bayern,10453,1529
"Langenzenn, St",Bayern,10438,1530
Aerzen,Niedersachsen,10424,1531
Dissen am Teutoburger Wald,Niedersachsen,10423,1532
Aulendorf,Baden-Württemberg,10417,1533
Büdelsdorf,Schleswig-Holstein,10417,1534
Burgstädt,Sachsen,10413,1535
Steinen,Baden-Württemberg,10409,1536
Reiskirchen,Hessen,10389,1537
Bad Wildbad,Baden-Württemberg,10388,1538
Klipphausen,Sachsen,10384,1539
Werlte,Niedersachsen,10382,1540
Endingen am Kaiserstuhl,Baden-Württemberg,10381,1541
Hünstetten,Hessen,10380,1542
Appenweier,Baden-Württemberg,10374,1543
Betzdorf,Rheinland-Pfalz,10363,1544
Braunsbedra,Sachsen-Anhalt,10352,1545
Schauenburg,Hessen,10352,1546
"Kirchseeon, M",Bayern,10342,1547
Goldenstedt,Niedersachsen,10313,1548
Anröchte,Nordrhein-Westfalen,10304,1549
Marpingen,Saarland,10297,1550
Rüthen,Nordrhein-Westfalen,10290,1551
"Altusried, M",Bayern,10289,1552
"Markt Indersdorf, M",Bayern,10283,1553
Friedeburg,Niedersachsen,10280,1554
Altenberge,Nordrhein-Westfalen,10278,1555
Kirchzarten,Baden-Württemberg,10266,1556
"Simbach a.Inn, St",Bayern,10261,1557
Neuenstadt am Kocher,Baden-Württemberg,10249,1558
Mörlenbach,Hessen,10245,1559
Steinfeld (Oldenburg),Niedersachsen,10228,1560
Schleusingen,Thüringen,10225,1561
Birkenfeld,Baden-Württemberg,10224,1562
Lollar,Hessen,10222,1563
"Beilngries, St",Bayern,10218,1564
Tangermünde,Sachsen-Anhalt,10212,1565
Hambühren,Niedersachsen,10208,1566
Königsbach-Stein,Baden-Württemberg,10201,1567
Wendeburg,Niedersachsen,10199,1568
Kirkel,Saarland,10191,1569
"Steinau an der Straße, Brüder-Grimm-Stadt",Hessen,10189,1570
Süßen,Baden-Württemberg,10185,1571
Flöha,Sachsen,10183,1572
Friedrichsthal,Saarland,10180,1573
Niebüll,Schleswig-Holstein,10173,1574
Grevesmühlen,Mecklenburg-Vorpommern,10167,1575
Bad Lauterberg im Harz,Niedersachsen,10164,1576
Kirchlinteln,Niedersachsen,10148,1577
Mengen,Baden-Württemberg,10148,1578
Meuselwitz,Thüringen,10148,1579
Bestwig,Nordrhein-Westfalen,10147,1580
Lenggries,Bayern,10147,1581
Heubach,Baden-Württemberg,10145,1582
Willstätt,Baden-Württemberg,10124,1583
Tangerhütte,Sachsen-Anhalt,10108,1584
Merchweiler,Saarland,10099,1585
"Gemünden a.Main, St",Bayern,10098,1586
Gommern,Sachsen-Anhalt,10090,1587
Hilter am Teutoburger Wald,Niedersachsen,10067,1588
Rödinghausen,Nordrhein-Westfalen,10064,1589
Oelsnitz/Vogtl.,Sachsen,10062,1590
"Werneck, M",Bayern,10051,1591
Bobenheim-Roxheim,Rheinland-Pfalz,10045,1592
Bad Ems,Rheinland-Pfalz,10030,1593
Schwaikheim,Baden-Württemberg,10028,1594
Mittenwalde,Brandenburg,10027,1595
Nordwalde,Nordrhein-Westfalen,10024,1596
Querfurt,Sachsen-Anhalt,10007,1597
Blumberg,Baden-Württemberg,10003,1598
Dettingen an der Erms,Baden-Württemberg,9993,1599
Ammersbek,Schleswig-Holstein,9991,1600
Ohrdruf,Thüringen,9991,1601
Wildberg,Baden-Württemberg,9977,1602
Weil im Schönbuch,Baden-Württemberg,9970,1603
"Münchberg, St",Bayern,9969,1604
"Kaufering, M",Bayern,9957,1605
Olbernhau,Sachsen,9953,1606
Nohfelden,Saarland,9949,1607
Rehburg-Loccum,Niedersachsen,9942,1608
Bad Orb,Hessen,9934,1609
Tutzing,Bayern,9926,1610
Gudensberg,Hessen,9925,1611
Bleicherode,Thüringen,9920,1612
Neuried,Baden-Württemberg,9919,1613
Ottendorf-Okrilla,Sachsen,9909,1614
Walzbachtal,Baden-Württemberg,9904,1615
Vettweiß,Nordrhein-Westfalen,9903,1616
Waltenhofen,Bayern,9901,1617
Biebertal,Hessen,9893,1618
Twist,Niedersachsen,9891,1619
Weilheim an der Teck,Baden-Württemberg,9887,1620
Rüdesheim am Rhein,Hessen,9879,1621
Elchingen,Bayern,9869,1622
Altenholz,Schleswig-Holstein,9865,1623
Niddatal,Hessen,9861,1624
Südlohn,Nordrhein-Westfalen,9861,1625
"Goldbach, M",Bayern,9857,1626
Spelle,Niedersachsen,9856,1627
Emmerthal,Niedersachsen,9834,1628
Wahlstedt,Schleswig-Holstein,9831,1629
Kümmersbruck,Bayern,9830,1630
Nersingen,Bayern,9827,1631
Ilsfeld,Baden-Württemberg,9826,1632
Pliezhausen,Baden-Württemberg,9821,1633
Hünfelden,Hessen,9818,1634
Ainring,Bayern,9800,1635
Eschenburg,Hessen,9795,1636
"Kösching, M",Bayern,9788,1637
Augustdorf,Nordrhein-Westfalen,9774,1638
Everswinkel,Nordrhein-Westfalen,9772,1639
Plüderhausen,Baden-Württemberg,9766,1640
Höchst i. Odw.,Hessen,9744,1641
Visbek,Niedersachsen,9735,1642
Ostercappeln,Niedersachsen,9734,1643
"Erlenbach a.Main, St",Bayern,9717,1644
Köngen,Baden-Württemberg,9716,1645
Bad Frankenhausen/Kyffhäuser,Thüringen,9715,1646
Oldenburg in Holstein,Schleswig-Holstein,9711,1647
Nieder-Olm,Rheinland-Pfalz,9703,1648
Trebbin,Brandenburg,9700,1649
Klötze,Sachsen-Anhalt,9699,1650
Laubach,Hessen,9699,1651
"Heilsbronn, St",Bayern,9692,1652
Linsengericht,Hessen,9679,1653
Veitshöchheim,Bayern,9671,1654
Pasewalk,Mecklenburg-Vorpommern,9666,1655
"Roßtal, M",Bayern,9663,1656
Brandis,Sachsen,9654,1657
Osthofen,Rheinland-Pfalz,9650,1658
Hirschberg an der Bergstraße,Baden-Württemberg,9647,1659
Schotten,Hessen,9641,1660
Römerberg,Rheinland-Pfalz,9634,1661
Altlandsberg,Brandenburg,9630,1662
Bad Breisig,Rheinland-Pfalz,9623,1663
Aichtal,Baden-Württemberg,9599,1664
Demmin,Mecklenburg-Vorpommern,9583,1665
Birkenau,Hessen,9565,1666
Oberhausen-Rheinhausen,Baden-Württemberg,9565,1667
"Höchberg, M",Bayern,9564,1668
Schulzendorf,Brandenburg,9562,1669
Wettin-Löbejün,Sachsen-Anhalt,9554,1670
Oberharz am Brocken,Sachsen-Anhalt,9547,1671
Runkel,Hessen,9543,1672
Kißlegg,Baden-Württemberg,9530,1673
Magstadt,Baden-Württemberg,9513,1674
Bad König,Hessen,9508,1675
Bisingen,Baden-Württemberg,9506,1676
Perl,Saarland,9503,1677
"Töging a.Inn, St",Bayern,9496,1678
"Wertingen, St",Bayern,9486,1679
Heiligenhafen,Schleswig-Holstein,9484,1680
Mainhausen,Hessen,9483,1681
Großröhrsdorf,Sachsen,9477,1682
Großhansdorf,Schleswig-Holstein,9469,1683
Bad Bevensen,Niedersachsen,9466,1684
Bockenem,Niedersachsen,9465,1685
Visselhövede,Niedersachsen,9458,1686
Zorneding,Bayern,9452,1687
Fürstenau,Niedersachsen,9443,1688
Oberzent,Hessen,9429,1689
Sebnitz,Sachsen,9421,1690
Wilkau-Haßlau,Sachsen,9418,1691
Wölfersheim,Hessen,9417,1692
Höhr-Grenzhausen,Rheinland-Pfalz,9415,1693
Ilsenburg (Harz),Sachsen-Anhalt,9414,1694
"Hemau, St",Bayern,9408,1695
Ehringshausen,Hessen,9399,1696
Werneuchen,Brandenburg,9397,1697
Hohenhameln,Niedersachsen,9396,1698
Giesen,Niedersachsen,9382,1699
Nuthetal,Brandenburg,9376,1700
"Ichenhausen, St",Bayern,9373,1701
Osterburg (Altmark),Sachsen-Anhalt,9371,1702
Pfedelbach,Baden-Württemberg,9369,1703
Ochsenhausen,Baden-Württemberg,9358,1704
Essen (Oldenburg),Niedersachsen,9356,1705
"Miltenberg, St",Bayern,9351,1706
Großbeeren,Brandenburg,9344,1707
Kandel,Rheinland-Pfalz,9337,1708
Laufenburg (Baden),Baden-Württemberg,9335,1709
Petersberg,Sachsen-Anhalt,9329,1710
Worpswede,Niedersachsen,9328,1711
Wallerfangen,Saarland,9324,1712
Schmitten im Taunus,Hessen,9323,1713
Neustadt (Hessen),Hessen,9316,1714
March,Baden-Württemberg,9309,1715
Molbergen,Niedersachsen,9306,1716
Zwenkau,Sachsen,9305,1717
Aidlingen,Baden-Württemberg,9302,1718
Bad Liebenzell,Baden-Württemberg,9301,1719
"Oberstdorf, M",Bayern,9279,1720
Ehningen,Baden-Württemberg,9277,1721
Urbach,Baden-Württemberg,9277,1722
Alsbach-Hähnlein,Hessen,9273,1723
Schlitz,Hessen,9271,1724
Wehrheim,Hessen,9271,1725
Mücke,Hessen,9267,1726
"Teisendorf, M",Bayern,9267,1727
Kolkwitz/Gołkojce,Brandenburg,9265,1728
Schlangen,Nordrhein-Westfalen,9257,1729
Nalbach,Saarland,9251,1730
Waldfeucht,Nordrhein-Westfalen,9242,1731
Dornstadt,Baden-Württemberg,9241,1732
Salzhemmendorf,Niedersachsen,9233,1733
"Lügde, Stadt der Osterräder",Nordrhein-Westfalen,9232,1734
"Elsenfeld, M",Bayern,9225,1735
Kemberg,Sachsen-Anhalt,9217,1736
Gnarrenburg,Niedersachsen,9216,1737
Hohenmölsen,Sachsen-Anhalt,9211,1738
Ebsdorfergrund,Hessen,9207,1739
Ilvesheim,Baden-Württemberg,9207,1740
Luckau,Brandenburg,9203,1741
Frickenhausen,Baden-Württemberg,9201,1742
Hilzingen,Baden-Württemberg,9196,1743
Hürtgenwald,Nordrhein-Westfalen,9196,1744
Storkow (Mark),Brandenburg,9196,1745
Lichtenstein,Baden-Württemberg,9191,1746
Gäufelden,Baden-Württemberg,9181,1747
Bestensee,Brandenburg,9171,1748
Lüchow (Wendland),Niedersachsen,9170,1749
Trittau,Schleswig-Holstein,9170,1750
Altenbeken,Nordrhein-Westfalen,9161,1751
Bleckede,Niedersachsen,9154,1752
"Freystadt, St",Bayern,9151,1753
Aschheim,Bayern,9149,1754
Wangerland,Niedersachsen,9149,1755
Kyritz,Brandenburg,9147,1756
"Nittenau, St",Bayern,9145,1757
Dassel,Niedersachsen,9142,1758
Barleben,Sachsen-Anhalt,9137,1759
Eisenberg (Pfalz),Rheinland-Pfalz,9137,1760
Steinbach-Hallenberg,Thüringen,9130,1761
"Rain, St",Bayern,9127,1762
Adelsdorf,Bayern,9126,1763
Schaafheim,Hessen,9113,1764
Reinfeld (Holstein),Schleswig-Holstein,9107,1765
Tecklenburg,Nordrhein-Westfalen,9098,1766
Florstadt,Hessen,9097,1767
Dielheim,Baden-Württemberg,9094,1768
Gomaringen,Baden-Württemberg,9080,1769
Biblis,Hessen,9076,1770
Fehrbellin,Brandenburg,9076,1771
Grimmen,Mecklenburg-Vorpommern,9076,1772
Vallendar,Rheinland-Pfalz,9062,1773
"Zwiesel, St",Bayern,9059,1774
Titz,Nordrhein-Westfalen,9052,1775
"Rehau, St",Bayern,9045,1776
Bad Schussenried,Baden-Württemberg,9044,1777
Mendig,Rheinland-Pfalz,9034,1778
Hohenbrunn,Bayern,9032,1779
Weißenthurm,Rheinland-Pfalz,9020,1780
Kusterdingen,Baden-Württemberg,9016,1781
"Berching, St",Bayern,9008,1782
